All	 All                	 Break      	 sendbreak 	
All	 All                	 Print      	 printsel 	
All	 All                	 Scroll_Lock 	 lessmode_toggle 	
All	 Alt                	 s          	 keyboard_select 	
All	 Control            	 0          	 scrollmark 	
All	 Control            	 1          	 scrollmark 	
All	 Control            	 2          	 scrollmark 	
All	 Control            	 3          	 scrollmark 	
All	 Control            	 4          	 scrollmark 	
All	 Control            	 5          	 scrollmark 	
All	 Control            	 6          	 scrollmark 	
All	 Control            	 7          	 scrollmark 	
All	 Control            	 8          	 scrollmark 	
All	 Control            	 9          	 scrollmark 	
All	 Control            	 F1         	 showhelp 	
All	 Control            	 Print      	 toggleprinter 	
All	 Control+Alt        	 0          	 set_scrollmark 	
All	 Control+Alt        	 1          	 set_scrollmark 	
All	 Control+Alt        	 2          	 set_scrollmark 	
All	 Control+Alt        	 3          	 set_scrollmark 	
All	 Control+Alt        	 4          	 set_scrollmark 	
All	 Control+Alt        	 5          	 set_scrollmark 	
All	 Control+Alt        	 6          	 set_scrollmark 	
All	 Control+Alt        	 7          	 set_scrollmark 	
All	 Control+Alt        	 8          	 set_scrollmark 	
All	 Control+Alt        	 9          	 set_scrollmark 	
All	 Control+Alt        	 Return     	 enterscroll 	
All	 Control+Shift      	 C          	 clipcopy 	
All	 Control+Shift      	 Down       	 lessmode_toggle 	
All	 Control+Shift      	 Home       	 lessmode_toggle 	
All	 Control+Shift      	 I          	 inverse_screen 	
All	 Control+Shift      	 L          	 lessmode_toggle 	
All	 Control+Shift      	 Num_Lock   	 numlock 	
All	 Control+Shift      	 Page_Down  	 lessmode_toggle 	
All	 Control+Shift      	 Page_Up    	 lessmode_toggle 	
All	 Control+Shift      	 S          	 keyboard_select 	
All	 Control+Shift      	 Up         	 lessmode_toggle 	
All	 Control+Shift      	 V          	 clippaste 	
All	 Control+Shift      	 Y          	 selpaste 	
All	 Control+Win        	 0          	 set_charmap 	
All	 Control+Win        	 1          	 set_charmap 	
All	 Control+Win        	 2          	 set_charmap 	
All	 Control+Win        	 3          	 set_charmap 	
All	 Control+Win        	 4          	 set_charmap 	
All	 Control+Win        	 5          	 set_charmap 	
All	 Control+Win        	 6          	 set_charmap 	
All	 Control+Win        	 7          	 set_charmap 	
All	 Control+Win        	 8          	 set_charmap 	
All	 Control+Win        	 9          	 set_charmap 	
All	 Shift              	 BackSpace  	 retmark 	
All	 Shift              	 Down       	 kscrolldown 	
All	 Shift              	 End        	 scrolltobottom 	
All	 Shift              	 Home       	 scrolltotop 	
All	 Shift              	 ISO_Left_Tab 	 retmark 	
All	 Shift              	 Insert     	 selpaste 	
All	 Shift              	 Page_Down  	 kscrolldown 	
All	 Shift              	 Page_Up    	 kscrollup 	
All	 Shift              	 Print      	 printscreen 	
All	 Shift              	 Return     	 enterscroll 	
All	 Shift              	 Up         	 kscrollup 	
All	 Shift+Alt          	 Delete     	 set_fontwidth 	
All	 Shift+Alt          	 End        	 set_fontwidth 	
All	 Shift+Alt          	 Home       	 zoomreset 	
All	 Shift+Alt          	 Insert     	 set_fontwidth 	
All	 Shift+Alt          	 Page_Down  	 zoom 	
All	 Shift+Alt          	 Page_Up    	 zoom 	
Help	 All                	 ALL_KEYS   	 dummy 	
Help	 All                	 Down       	 kscrolldown 	
Help	 All                	 End        	 scrolltobottom 	
Help	 All                	 Escape     	 showhelp 	
Help	 All                	 Home       	 scrolltotop 	
Help	 All                	 Page_Down  	 kscrolldown 	
Help	 All                	 Page_Up    	 kscrollup 	
Help	 All                	 Up         	 kscrollup 	
Help	 All                	 q          	 showhelp 	
Help	 All                	 space      	 kscrolldown 	
Less	 All                	 0          	 scrollmark 	
Less	 All                	 1          	 scrollmark 	
Less	 All                	 2          	 scrollmark 	
Less	 All                	 3          	 scrollmark 	
Less	 All                	 4          	 scrollmark 	
Less	 All                	 5          	 scrollmark 	
Less	 All                	 6          	 scrollmark 	
Less	 All                	 7          	 scrollmark 	
Less	 All                	 8          	 scrollmark 	
Less	 All                	 9          	 scrollmark 	
Less	 All                	 BackSpace  	 retmark 	
Less	 All                	 Down       	 kscrolldown 	
Less	 All                	 End        	 scrolltobottom 	
Less	 All                	 Escape     	 lessmode_toggle 	
Less	 All                	 Home       	 scrolltotop 	
Less	 All                	 Page_Down  	 kscrolldown 	
Less	 All                	 Page_Up    	 kscrollup 	
Less	 All                	 Tab        	 retmark 	
Less	 All                	 Up         	 kscrollup 	
Less	 All                	 q          	 lessmode_toggle 	
Less	 All                	 space      	 kscrolldown 	
Less	 Shift              	 Return     	 lessmode_toggle 	
